x,y,z,label
526037.892,4694101.283,11.51,2.0
526037.478,4694101.306,11.521,2.0
526035.111,4694103.572,11.542,2.0
526035.21,4694103.26,11.583,2.0
526038.108,4694101.497,11.587,2.0
526037.496,4694101.019,11.593,2.0
526034.219,4694102.138,11.596,2.0
526037.673,4694101.295,11.6,2.0
526037.922,4694101.558,11.606,2.0
526036.89,4694103.011,11.606,2.0
526036.499,4694102.631,11.631,2.0
526034.272,4694102.307,11.633,2.0
526038.831,4694102.003,11.638,2.0
526037.851,4694101.032,11.639,2.0
526037.537,4694100.961,11.66,2.0
526035.342,4694103.786,11.683,2.0
526035.297,4694103.356,11.703,2.0
526035.248,4694103.928,11.732,2.0
526038.811,4694101.836,11.736,2.0
526038.739,4694101.824,11.744,2.0
526037.68,4694101.123,11.773,2.0
526036.519,4694103.078,11.784,2.0
526036.455,4694103.011,11.793,2.0
526036.725,4694102.913,11.795,2.0
526035.311,4694103.609,11.801,2.0
526035.641,4694100.022,11.802,2.0
526037.215,4694102.765,11.851,2.0
526036.475,4694102.969,11.882,2.0
526037.204,4694102.539,11.919,2.0
526038.451,4694101.564,11.935,2.0
526039.752,4694104.55,11.941,2.0
526036.865,4694102.799,11.944,2.0
526038.796,4694101.524,11.952,2.0
526035.957,4694100.005,11.962,2.0
526036.14,4694103.869,11.968,2.0
526037.107,4694101.848,11.972,2.0
526037.065,4694102.276,11.995,2.0
526037.328,4694102.167,12.000999999999998,2.0
526036.426,4694104.206,12.000999999999998,2.0
526036.724,4694102.629,12.004,2.0
526040.3,4694104.622,12.018,2.0
526036.935,4694102.701,12.034000000000002,2.0
526040.061,4694106.02,12.04,2.0
526040.199,4694104.668,12.041,2.0
526037.191,4694103.286,12.044999999999998,2.0
526036.14,4694103.591,12.047,2.0
526038.643,4694101.637,12.051000000000002,2.0
526036.494,4694102.369,12.057,2.0
526036.216,4694103.441,12.058,2.0
526037.085,4694103.116,12.064,2.0
526037.422,4694103.392,12.074,2.0
526036.498,4694102.086,12.086000000000002,2.0
526037.057,4694102.064,12.094000000000001,2.0
526038.486,4694101.393,12.109,2.0
526038.281,4694101.794,12.109,2.0
526037.295,4694100.051,12.122999999999998,2.0
526037.506,4694100.116,12.122999999999998,2.0
526036.426,4694103.926,12.125,2.0
526036.815,4694102.339,12.129000000000001,2.0
526039.861,4694104.99,12.133,2.0
526036.378,4694103.497,12.142,2.0
526036.56,4694102.33,12.196,2.0
526040.213,4694104.942,12.234000000000002,2.0
526038.178,4694101.71,12.283,2.0
526038.673,4694101.321,12.293,2.0
526040.109,4694105.783,12.303,2.0
526036.7,4694100.203,12.36,2.0
526040.1,4694105.624,12.361,2.0
526037.422,4694102.705,12.363,2.0
526040.183,4694105.184,12.388,2.0
526036.82,4694101.726,12.396,2.0
526037.43,4694102.832,12.397,2.0
526037.202,4694100.178,12.406,2.0
526036.669,4694100.675,12.407,2.0
526036.626,4694102.028,12.422,2.0
526036.721,4694100.824,12.436999999999998,2.0
526036.812,4694100.763,12.443000000000001,2.0
526040.943,4694104.968,12.449,2.0
526040.463,4694105.95,12.457,2.0
526036.881,4694100.447,12.480999999999998,2.0
526040.312,4694106.101,12.486,2.0
526036.492,4694103.604,12.492,2.0
526036.941,4694100.238,12.493,2.0
526036.701,4694100.476,12.505000000000003,2.0
526036.636,4694101.725,12.514,2.0
526036.773,4694102.016,12.523,2.0
526040.495,4694105.006,12.543,2.0
526040.227,4694105.382,12.543,2.0
526040.308,4694105.49,12.545,2.0
526037.714,4694102.509,12.576999999999998,2.0
526036.777,4694101.833,12.588,2.0
526036.926,4694100.542,12.618000000000002,2.0
526040.355,4694104.922,12.618000000000002,2.0
526040.464,4694105.542,12.619,2.0
526037.108,4694100.665,12.633,2.0
526036.734,4694101.88,12.646,2.0
526034.785,4694103.677,12.663999999999998,2.0
526037.411,4694102.458,12.667,2.0
526040.021,4694104.029,12.681999999999999,2.0
526040.615,4694104.722,12.685,2.0
526037.001,4694100.397,12.698999999999998,2.0
526040.742,4694105.2,12.701,2.0
526037.676,4694102.392,12.753,2.0
526040.044,4694103.753,12.776,2.0
526040.689,4694104.914,12.784000000000002,2.0
526040.853,4694105.207,12.796,2.0
526040.772,4694105.811,12.808,2.0
526038.242,4694102.745,12.811999999999998,2.0
526040.733,4694105.583,12.844000000000001,2.0
526038.233,4694102.42,12.846999999999998,2.0
526040.749,4694105.425,12.85,2.0
526034.831,4694103.282,12.872,2.0
526037.6,4694102.199,12.873999999999999,2.0
526040.544,4694105.916,12.881999999999998,2.0
526038.496,4694102.566,12.890999999999998,2.0
526041.068,4694105.356,12.895,2.0
526040.325,4694103.373,12.902,2.0
526034.614,4694102.948,12.928,2.0
526040.0,4694102.975,12.929,2.0
526036.69,4694103.419,12.936,2.0
526040.303,4694103.766,12.939,2.0
526040.953,4694105.47,12.949000000000002,2.0
526037.885,4694102.265,12.954,2.0
526034.765,4694103.057,12.967000000000002,2.0
526040.933,4694105.666,12.991,2.0
526034.71,4694103.221,12.992,2.0
526038.295,4694102.236,13.001000000000001,2.0
526039.713,4694103.317,13.009,2.0
526038.133,4694102.171,13.038,2.0
526034.776,4694102.858,13.038999999999998,2.0
526040.476,4694103.514,13.045000000000002,2.0
526039.626,4694103.226,13.05,2.0
526037.71,4694101.974,13.055,2.0
526040.116,4694103.548,13.077,2.0
